"Script.name","User.ID","Script.ID","Rule.ID","Description","Rule.Binary","Created","Characters","Type","Points.Achieved","First.Language","Native.Language","Spoken.Languages","Spoken.Languages.Literacy","Last.Login","Created.y","character.count","all.rules.count","unique.rules.count","prop.classified.character","prop.used.all.rules","prop.used.unique.rules","bestset","bestset.all"
"Hangul","62267298f7cd220be5aa5616","6138ca71dc2a42003d456703","622e18abf7cd220be5c24760","Lettres contenant un espace fermé","0000001110010000011000100000000000000000",2022-03-13,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",48413,"Français",NA,"Allemand,anglais,latin","I CAN READ AND WRITE ALL THE LANGUAGES THAT I CAN SPEAK","Mon Mar 07 2022 22:01:12 GMT+0100 (Central European Standard Time)","Mon, 07 Mar 2022 21:01:12 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"no","yes"
"Hangul","620f75eb35721754f0b9ae7d","6138ca71dc2a42003d456703","620fbce835721754f0bbd1e8","pic","0000000001101110000000000000000000000000",2022-02-18,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",1254,"Français",NA,"Anglais","I CAN READ AND WRITE ALL THE LANGUAGES THAT I CAN SPEAK","Fri Feb 18 2022 11:33:15 GMT+0100 (Central European Standard Time)","Fri, 18 Feb 2022 10:33:15 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"no","yes"
"Hangul","6253ad7e5c4aed2117e7fc9c","6138ca71dc2a42003d456703","6254e4bd5c4aed2117eb1537","dvl","0000000000000000000010101010010000100000",2022-04-12,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",1299,"Greek",NA,"Blue,Rock,pi","music","Mon Apr 11 2022 06:24:30 GMT+0200 (Central European Summer Time)","Mon, 11 Apr 2022 04:24:30 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"no","yes"
"Hangul","6224d5ecf7cd220be5a2c2bc","6138ca71dc2a42003d456703","625420245c4aed2117e922d1","Y inversé","0000000001101110000000000000000000000000",2022-04-11,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",16883,"Français",NA,"aucune","non","Sun Mar 06 2022 16:40:28 GMT+0100 (Central European Standard Time)","Sun, 06 Mar 2022 15:40:28 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"no","yes"
"Hangul","620f7e9f35721754f0b9f3f7","6138ca71dc2a42003d456703","6211a58a35721754f0bfccf4","Le graphe est composé de trois traits.","0001000000000001000011001100001100011000",2022-02-20,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",6457,"Français",NA,"anglais","I CAN READ AND WRITE ALL THE LANGUAGES THAT I CAN SPEAK","Fri Feb 18 2022 12:10:23 GMT+0100 (Central European Standard Time)","Fri, 18 Feb 2022 11:10:23 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"yes","yes"
"Hangul","629b5f215c4aed2117179ecf","6138ca71dc2a42003d456703","629cb2205c4aed211718595c","Buchstaben, die ein oder mehrere an ein Dach erinnernde Zeichen enthalten","0000000001101110000000000000000000000000",2022-06-05,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",5876,"Deutsch",NA,"Englisch,Französisch,Japanisch,marokkanisches Arabisch","marokkanisches Arabisch","Sat Jun 04 2022 15:33:21 GMT+0200 (Central European Summer Time)","Sat, 04 Jun 2022 13:33:21 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"no","yes"
"Hangul","6220c6e935721754f0d0d40e","6138ca71dc2a42003d456703","62370b08c402901b62cd70d1","Halbe Leiter nur gerade","0000000000000000000101011111100110001000",2022-03-20,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",1171,"Deutsch",NA,"Englisch","I CAN READ AND WRITE ALL THE LANGUAGES THAT I CAN SPEAK","Thu Mar 03 2022 14:47:21 GMT+0100 (Central European Standard Time)","Thu, 03 Mar 2022 13:47:21 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"yes","yes"
"Hangul","6224cb1af7cd220be5a291d0","6138ca71dc2a42003d456703","62279a44f7cd220be5af8202","Separate shapes","0100100010100000001000001010111001110010",2022-03-08,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",1318,"French",NA,"English","I CAN READ AND WRITE ALL THE LANGUAGES THAT I CAN SPEAK","Sun Mar 06 2022 15:54:18 GMT+0100 (Central European Standard Time)","Sun, 06 Mar 2022 14:54:18 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"no","yes"
"Hangul","62267298f7cd220be5aa5616","6138ca71dc2a42003d456703","622e1983f7cd220be5c2483f","Echelle contenant au moins un barreau","0000000000000000000111111111111111111000",2022-03-13,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",48413,"Français",NA,"Allemand,anglais,latin","I CAN READ AND WRITE ALL THE LANGUAGES THAT I CAN SPEAK","Mon Mar 07 2022 22:01:12 GMT+0100 (Central European Standard Time)","Mon, 07 Mar 2022 21:01:12 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"no","yes"
"Hangul","620d0ece35721754f0b6fdee","6138ca71dc2a42003d456703","620d6a4335721754f0b7663d","Encloses space","0000001110010000011000100000000000000000",2022-02-16,"U+1100,U+1101,U+1102,U+1103,U+1104,U+1105,U+1106,U+1107,U+1108,U+1109,U+110A,U+110B,U+110C,U+110D,U+110E,U+110F,U+1110,U+1111,U+1112,U+1161,U+1162,U+1163,U+1164,U+1165,U+1166,U+1167,U+1168,U+1169,U+116A,U+116B,U+116C,U+116D,U+116E,U+116F,U+1170,U+1171,U+1172,U+1173,U+1174,U+1175","featural system",1818,"English",NA,"German","I CAN READ AND WRITE ALL THE LANGUAGES THAT I CAN SPEAK","Wed Feb 16 2022 15:48:46 GMT+0100 (Central European Standard Time)","Wed, 16 Feb 2022 14:48:46 GMT",40,884,443,100,0.0214932126696833,0.0428893905191874,"yes","yes"
